,f12-tz
$\omega_{1}$,3867.847
$\omega_{2}$,2673.152
$\omega_{3}$,2572.849
$\omega_{4}$,1376.67
$\omega_{5}$,1190.855
$\omega_{6}$,1188.159
$\omega_{7}$,1061.899
$\omega_{8}$,894.045
$\omega_{9}$,785.41
,f12-tz
$\nu_{1}$,3681.145
$\nu_{2}$,2556.17
$\nu_{3}$,2465.863
$\nu_{4}$,1347.804
$\nu_{5}$,1153.333
$\nu_{6}$,1167.808
$\nu_{7}$,1048.834
$\nu_{8}$,880.746
$\nu_{9}$,751.451
,f12-tz
r$_0$(H1-B2),1.2019254
r$_0$(B2-O3),1.3597763
r$_0$(O3-H4),0.9600271
r$_0$(O3-H5),2.2313664
$\angle$(B2-H1-O3),116.8081382
$\angle$(O3-B2-H4),113.329747
$\angle$(O3-B2-H5),27.7877851
,f12-tz
A$_0$,171976.41420585907
B$_0$,30319.348351902678
C$_0$,25689.0508401681
A$_1$,170134.96001806614
B$_1$,30294.15679165694
C$_1$,25631.58961974324
A$_2$,170804.99016584698
B$_2$,30278.19284326844
C$_2$,25646.537271699122
A$_3$,170008.77137664479
B$_3$,30305.821716197723
C$_3$,25638.03515759024
A$_4$,172536.09974362384
B$_4$,30328.73185583808
C$_4$,25515.18020830184
A$_5$,175311.44641110633
B$_5$,30366.430757431583
C$_5$,25594.439338347882
A$_6$,172705.87521051383
B$_6$,30277.90804043334
C$_6$,25601.54741752706
A$_7$,170210.49272785924
B$_7$,30085.61516202298
C$_7$,25724.51329002492
A$_8$,176664.70956651834
B$_8$,30273.98375715812
C$_8$,25610.38230126432
A$_9$,167583.03667783272
B$_9$,30196.51738601092
C$_9$,25689.80631716226
,units,f12-tz
$\Delta_J$,kHz,62.886
$\Delta_K$,MHz,5.396
$\Delta_{JK}$,kHz,525.835
$\delta_j$,kHz,10.383
$\delta_k$,kHz,461.601
$\Phi_J$,kHz,93.163
$\Phi_K$,MHz,729.518
$\Phi_{JK}$,MHz,10.516
$\Phi_{KJ}$,MHz,-18.942
$\phi_j$,kHz,49.356
$\phi_{jk}$,MHz,6.085
$\phi_k$,MHz,291.937
