,f12-tz
$\omega_{1}$,2797.572
$\omega_{2}$,1438.996
$\omega_{3}$,1214.592
,f12-tz
$\nu_{1}$,2627.733
$\nu_{2}$,1405.236
$\nu_{3}$,1191.046
,f12-tz
r$_0$(H1-C2),1.1380459
r$_0$(C2-F3),1.3150685
$\angle$(C2-H1-F3),102.3505461
,f12-tz
A$_0$,467114.58230371075
B$_0$,36560.69155990972
C$_0$,33773.89282053164
A$_1$,448637.55768168496
B$_1$,36648.44680821548
C$_1$,33788.88244343164
A$_2$,477978.0236997261
B$_2$,36553.98820054884
C$_2$,33612.97322285098
A$_3$,465738.4749629992
B$_3$,36126.48415544084
C$_3$,33306.012727180205
,units,f12-tz
$\Delta_J$,kHz,128.319
$\Delta_K$,MHz,72.605
$\Delta_{JK}$,MHz,2.413
$\delta_j$,kHz,9.18
$\delta_k$,MHz,1.418
$\Phi_J$,kHz,-16.93
$\Phi_K$,GHz,27.009
$\Phi_{JK}$,MHz,34.429
$\Phi_{KJ}$,MHz,649.65
$\phi_j$,kHz,33.947
$\phi_{jk}$,MHz,19.794
$\phi_k$,GHz,4.894
